original,translated
"To date, 3500 species of cockroaches have been identified worldwide, experts believe about 5000 species have not been described ##pest control","Đến nay, thế giới đã xác định được 3500 loài gián, nhưng các chuyên gia tin rằng còn khoảng 5000 loài chưa được mô tả."
Got a gift from fujifilm grgr video kmrn fypðŸ˜‚,"Mình được Fujifilm tặng quà hôm qua, vui quá!"
"those who protest are mostly internal fans, aren't they?? thank you, come on","Chắc những người phản đối chủ yếu là fan ruột thôi nhỉ? Cảm ơn, cố lên!"
long time no hear the strokes,Lâu lắm rồi không nghe thấy tiếng trống.
"My minus during Kulon has increased, I haven't had time to check, I can only feel it.. I'm so tired of crying minus I was looking at my eyes and saw red lines like that (?) I want to rest but today there is a webinar.....","Mấy ngày ở Kulon tôi bị thâm quầng mắt nhiều hơn, chưa kịp xem xét kỹ, chỉ thấy mệt mỏi kinh khủng, nhìn vào mắt thấy toàn những đường đỏ, muốn nghỉ ngơi mà hôm nay lại có webinar…"
want to watch the musical again :(((((((((((((((((((((((((((((((((((((((((,Muốn xem vở nhạc kịch đó lần nữa quá đi mà :'(
"Mager, where's my stuck email, what should I do?","Mager, email của tôi bị kẹt ở đâu rồi, tôi phải làm sao đây?"
do you have gas?,Bạn có xăng không?
"[cm] Oh yes, I'm really confused that my final project has been sent to Dospem 2, while I have changed the contents again. Just wait for the revision or just send the changes again. Please advise guys :(","Ôi trời, mình rối quá, dự án cuối kỳ đã gửi sang Dospem 2 rồi mà mình lại sửa nội dung nữa, giờ chờ chỉnh sửa hay gửi lại bản sửa đổi đây?  Các bạn cho mình lời khuyên với :("
the trending is 7l instead of 71 wkwkwk,"Trào lưu là 7l chứ không phải 71, haha."
I'm so stressed I lost weight,Tôi stress quá đến nỗi sút cân.
Share across regions,Chia sẻ rộng khắp các vùng miền.
"Mutual? Gass, those who like jbjb, let's be mutual with me, help rt/like, sis, thx <3","Kết bạn không?  Các bạn thích jbjb thì kết bạn với mình nha, giúp mình retweet/like nhé, bạn, cảm ơn <3"
"Coming home is never simple, coming home is never ordinary. Excited for those of you who don't come home for Eid this time","Về nhà không bao giờ dễ dàng, cũng chẳng bao giờ bình thường.  Chúc mừng những ai không được về nhà ăn Tết năm nay."
Peyut,Dạ vâng.
Gluruk without reinforcements.. Lanjotttt...,Gluruk không có quân tiếp viện… Chết chắc rồi…
JENDRA COME BECOME MY FRIEND. TROUBLESHOOTING ANJRIT ”,"Jendra, làm bạn với mình đi, giúp mình sửa lỗi phần Anjrit nhé!"
Leathered horse,Ngựa da sần.
"hm, I'm not broken, then I'm broken, look at the status of broken people ™","Ừ, mình không sao, mà lại thấy mình… tan vỡ rồi, nhìn này, hội người tan vỡ đây ™"
"dokfess! Brothers who are FK PTN, do you have another psychological test or not? If it's a health test, what are you checking, Sis? Thank you",Trời ơi! Anh em khoa PTN có kiểm tra tâm lý gì nữa không đấy? Nếu là khám sức khỏe thì chị đang kiểm tra cái gì vậy? Cảm ơn chị!
why can't shopee pay online Maybank2u? strange ðŸ¤”,Sao Shopee không thanh toán trực tuyến được với Maybank2u vậy? Lạ thật!
"It's a regret at the end, at the beginning it's registration","Hối tiếc ở cuối, đăng ký ở đầu."
UMSfess- does anyone know of a money exchange service that is still ready around solo or not,Có ai biết chỗ đổi tiền nào ở Solo vẫn còn mở cửa không nhỉ?
"Hadaahh hadaahhh.... Monday the air is going home but I can't go home, that's why I keep working work work","Hả… hả… Thứ Hai rồi, tan tầm hết rồi mà mình vẫn phải cày cuốc đây này."
pq dicen q jyp mword,Sao mọi người lại nói JYP thiên vị thế?
"What are you doing, I just want to take a bath","Bạn đang làm gì thế, mình chỉ muốn đi tắm thôi."
Have you ever been dumbfounded and 'diluc is so handsome',"Bạn đã từng bị choáng ngợp đến mức thốt lên ""Diluc đẹp trai quá"" chưa?"
Sig or not? I'm so sorry for sure,Ký hay không ký? Tôi thực sự rất xin lỗi.
WHERE IS MY JAEMIN PC?,Giấy ảnh Jaemin của tôi đâu rồi?
Morning?,Sáng rồi à?
Multitasking is my passion hahahaha,Làm nhiều việc cùng lúc là niềm đam mê của tôi! hahaha
I just woke up,Mình mới dậy.
dream is there a v live before the MV comes out or not?,MV ra mắt có VLIVE trước không nhỉ?
"Inhaling aing tea, my loba asa ngagoler jeung ngahuleng na. But from the ideals of wishing to become jalma beunghar :((","Uống trà, lòng tôi vừa tĩnh lặng vừa buồn bã vì ước mơ trở thành người giàu có vẫn chưa thành hiện thực."
"Ayuma, the aura is getting here, the aura is getting better..","Ayuma, hào quang đang đến, hào quang đang mạnh hơn rồi…"
oh sarah,Ôi Sarah!
Longing to float in the strains of my breath,Khao khát được trôi nổi trong hơi thở của chính mình.
slr first while on duty,Trực nhật lần đầu.
don't be locked after unlocking,Đừng tự khóa mình lại sau khi đã mở khóa.
"the bunny is so cute, isn't it like no one is naughty","Chú thỏ dễ thương quá, trông ngoan ngoãn lắm!"
"Last night there was a story about Derai near tv3, at first I didn't know the title of the story. I asked my sister. ""What story is this?"". With confidence he answered...""Jealous"".............ðŸ¤¦â€ â™€ðŸ¤¦â€ â™€","Tối qua có chiếu phim về Derai trên kênh TV3, lúc đầu không biết tên phim, hỏi em gái ""Phim gì thế?"", nó tự tin đáp: ""Ghen""...  😍😘😍😘"
edi there lahat,Đấy đủ rồi.
Chataaa,Chán quá!
"Why is this tweet, why is it that every time I like a tweet it gets so often unlike???",Sao cứ mỗi lần tôi thích một tweet thì nó lại bị hủy thích nhiều thế này?
it's time for namatin s2 girl from nowhere,Đến giờ xem Nữ thần vô hình mùa 2 rồi!
sed kerk afkark ki lkhra,Tôi không hiểu câu đó.
there are people,Có người.
"The flash is 5 minutes, remind me hmmmmm. ❤","Tí nữa 5 phút nữa nhớ nhắc mình nha, hmmm. ❤️"
ok done! 'š,Được rồi!
Dikta has Nadhira. Jeno is mine.ðŸ˜¼â˜,"Dika có Nadhira, Jeno là của tôi!  😊💖"
want to go to buy a straightener,Muốn đi mua máy là thẳng tóc.
Read AU so you don't get tensed,Đọc AU để đỡ căng thẳng.
"Trying to be good ""just when it's right"" it's not easy to fall :(",Giả vờ ngoan ngoãn chỉ khi cần thiết thật khó khăn :(
"Yes, Pdip corruptors again.... hadeh hadeh hadeh... the leader of his party even though the Pancasila ideology development board... just get up the cadres themselves can't be educated, they pretend to want to educate all over Indonesia","Dạ, lũ tham nhũng Pdip lại tái phạm… thôi rồi thôi rồi thôi rồi… đến cả lãnh đạo đảng, dù là người của hội đồng phát triển tư tưởng Pancasila… mà còn không dạy được đảng viên của mình, lại còn bày đặt ra vẻ đi dạy bảo cả nước."
via gk frens?,Qua bạn bè trên group à?
"It's really annoying that the lecturer doesn't give homework, really appreciates my time offðŸ'•ðŸ'•","Thật khó chịu khi giảng viên không giao bài tập về nhà, đúng là biết trân trọng thời gian nghỉ của tôi nhỉ!"
"on the vows, the number of members is kkkkkkkkkkkkkk do i have to join kkkkkkkkkk","Trời ơi, thề nguyện nhiều người thế kia, mình có phải tham gia không trời!"
"No need to be busy to be better than others, but busy to try to be better than yesterday's #BerjuangTegakkanSyariah.â˜ •‹â˜ . #CBZV4","Không cần bận rộn để hơn người khác, mà hãy bận rộn để tốt hơn chính mình ngày hôm qua. #BerjuangTegakkanSyariah.â˜ •‹â˜ . #CBZV4"
Back to codm,Trở lại CODM.
"Watching the fansign, you can go online, you can go offline, but it makes you feel bad.........ðŸ'”","Xem fansign xong, dù online hay offline, vẫn thấy khó chịu."
Day 28/30 Al Akbar ²ðŸ ™ #sahur,"Ngày 28/30, Al Akbar, bữa ăn trước bình minh."
"From here, you can see which ones are true, which are sincere, which are good, if you want it, it's like wearing a mask ""PARASITE"" ðŸ¥´ðŸ¤ª","Từ đây, bạn sẽ thấy đâu là thật, đâu là chân thành, đâu là tốt, nếu muốn, nó cũng giống như đeo mặt nạ ""KÝ SINH TRÙNG""."
"Many other things for this year's Raya, I can buy telekung for mom, kurta for dad, Raya cake for brothers and how many Ramadan iftar desserts does that mean, all of that from my small business money, thank you Allah :')","Năm nay Raya, con có thể mua telekung cho mẹ, kurta cho bố, bánh Raya cho các anh, và cả đống đồ tráng miệng iftar tháng Ramadan nữa, tất cả đều từ tiền công việc nhỏ của con, cảm ơn Allah :’)"
Slr for a moment ok™,Chờ chút nhé.
Arresting the regent of suspected corruption ahead of Eid. Not nationally minded!,"Bắt giam nhiếp chính vì nghi ngờ tham nhũng trước lễ Eid, thật thiếu tinh thần dân tộc!"
FHCUKH,Chết tiệt!
be honest if you like me h3h3,Nếu thích mình thì cứ nói thật đi.
"Sometimes happiness is not because of love, not because of money. Happiness is when our parents smile happily when we are successful..#quotesindonesia #quotesoftheday #twit #quotesdaily","Hạnh phúc đôi khi không phải vì tình yêu, không phải vì tiền bạc, mà là khi cha mẹ mình mỉm cười vui vẻ vì thành công của chúng ta."
"Honestly, what I'm thinking now is how many versions of the album will I be able to buy and how many versions€","Thực lòng mà nói, giờ mình chỉ nghĩ xem mình có thể mua được bao nhiêu phiên bản album thôi."
"asked to choose, local brand or foreign brand. If you want to choose a local brand, sometimes it's hard to find it compared to foreign brands or those that go directly to the official store","Phải chọn giữa hàng nội địa và hàng ngoại, nếu muốn mua hàng nội thì đôi khi lại khó tìm hơn hàng ngoại hay hàng có sẵn ở cửa hàng chính hãng."
xiao mains or hutao mains hmu i can pull yanfei/lumine <3,"Ai chơi Xiao hoặc Hutao thì nhắn mình nha, mình có thể reroll ra Yanfei/Lumine nè <3"
"Just looked at the study table, but ...... Hahaha continue","Vừa nhìn vào bàn học, mà thôi… Hahaha, tiếp tục nào!"
Why do Minang people when they speak Indonesian their accent has its own characteristics?,Tại sao người Minangkabau khi nói tiếng Indonesia lại có giọng đặc trưng riêng?
"Don't want to be virtual, especially with Twitter kids. Hehe","Chẳng muốn ảo, nhất là với lũ trẻ Twitter. Hehe."
"We're adults, if there's a problem, it's a good thing to say, not to be silent :(","Chúng ta là người lớn rồi, có vấn đề gì thì nói ra, đừng im lặng chứ :("
ALLAHUAKBAR JUNE COMEBACK,"Thánh Allah vĩ đại, tháng Sáu trở lại!"
"If this year the Google Maps train is to be updated, it must be full of roadblocks, full of ambulances. ..In the past, it looked like she was riding a bicycle, so cute.","Năm nay nếu Google Maps cập nhật, chắc chắn sẽ toàn tắc đường, xe cứu thương… Trước kia nhìn cứ như cô ấy đang đạp xe đạp, dễ thương quá."
"tmi, suddenly i miss that prigkhing rp :(, that acel acel.. ouch, what's the last one... prigkhingjogja, what's the matter... duh where did i go after the reinstall, sad fkkkkkk :"""""""" """"""""""""""""""""""""""""""""""""""","Ôi trời, nhớ cái RP Prigkhing quá đi mất, cái Ace Ace ấy… ớ, cái cuối cùng là gì nhỉ… Prigkhingjogja, sao lại thế này… chán chết, cài lại xong mình đi đâu rồi ấy nhỉ, buồn quá đi huhu."
"If I beg for attention, is it okay?",Tôi van xin sự chú ý thì có được không?
Making Deku edit,Đang làm video edit Deku.
"in vlive rang people fight just because of autoclick, oh my godðŸ˜©","Trời ơi, trên Vlive người ta đánh nhau chỉ vì autoclick thôi!"
"There'll be something later, ""Yeah, let's just bring it up again"".",Chờ tí nữa tính tiếp đi.
"wâ€”tb usn related heejin & seungyoun, whisper the price yaa! #zonaba #zonabu #zoneuang","Thì thầm giá đi nào, tớ cần thông tin về HeeJin & SeungYoun! #zonaba #zonabu #zoneuang"
"When it's not vacation, I want to take a quick vacation, when I'm on vacation I don't know what to do","Hết kỳ nghỉ thì thèm được nghỉ, đang nghỉ lại chẳng biết làm gì."
want to get pregnant with bram,Muốn có con với Bram.
Okokokokokooooooookkkkaaaaaayyyyyyyy tm :-) fr,Được rồi nào!  ^_^
Jigunamaru sha sha sha,Rầm rầm rầm!
NO HICW LAS TAREAS,Không được làm bài tập.
â€œSuffering makes me stronger and growingâ€ - Pain(chapter 474),Cơn đau khiến tôi mạnh mẽ và trưởng thành hơn.
Pisti yawa,Chết tiệt!
